beer_beerid,counts as best beer,avg review_overall,avg review_aroma,avg review_appearance,avg review_taste,avg beer_abv,number of reviews,counts with top score,brewery_name,beer_style,beer_name
141,442,4.25,4.07690246517,4.23713826367,4.21891747053,7.7,1866,275,Brewery Ommegang,Saison / Farmhouse Ale,Hennepin (Farmhouse Saison)
1558,432,4.32916948008,4.45982444294,4.25185685348,4.45746117488,9.5,1481,296,Three Floyds Brewing Co. & Brewpub,American Double / Imperial IPA,Dreadnaught IPA
9478,414,4.39627228525,4.23743922204,3.94124797407,4.24797406807,4.5,1234,313,Three Floyds Brewing Co. & Brewpub,American Pale Wheat Ale,Gumballhead
355,413,4.04457885305,3.80040322581,3.89180107527,4.02262544803,6.5,2232,169,Rogue Ales,Maibock / Helles Bock,Dead Guy Ale
2751,412,4.23160832065,4.15246067986,4.0870116692,4.25367833587,7.0,1971,214,Bear Republic Brewing Co.,American IPA,Racer 5 India Pale Ale
248,412,4.08003651856,3.81071211199,3.86670724285,3.8928788801,4.9,1643,201,Brouwerij van Hoegaarden,Witbier,Hoegaarden Original White Ale
104,410,4.04447662391,3.66404633844,3.88684319404,3.87236243277,4.9,2417,206,Boston Beer Company (Samuel Adams),Vienna Lager,Samuel Adams Boston Lager
39,397,4.33017635532,4.25342913129,4.11854996734,4.3288700196,6.0,1531,257,Three Floyds Brewing Co. & Brewpub,American Pale Ale (APA),Alpha King Pale Ale
782,387,4.166875,4.1196875,4.2996875,4.2284375,7.0,1600,226,Samuel Smith Old Brewery (Tadcaster),Russian Imperial Stout,Samuel Smith's Imperial Stout
680,383,4.03209321341,4.1103843009,4.29374488962,4.2207686018,10.0,2446,162,Brooklyn Brewery,Russian Imperial Stout,Brooklyn Black Chocolate Stout
30420,381,4.10448496796,4.01996057171,4.17052735338,4.11384918679,7.2,2029,148,Sierra Nevada Brewing Co.,American IPA,Sierra Nevada Torpedo Extra IPA
754,380,3.6850678733,3.22828054299,4.19705882353,3.35339366516,4.2,2210,209,Guinness Ltd.,Irish Dry Stout,Guinness Draught
1696,377,4.23254324151,4.24631646381,4.23798846893,4.36418962204,9.2,1561,227,Brasserie de Rochefort,Dubbel,Trappistes Rochefort 8
1118,375,4.12237569061,4.30635359116,4.32016574586,4.25773480663,6.0,1810,204,Rogue Ales,American Stout,Chocolate Stout
3158,371,4.21783472803,4.2105125523,4.2960251046,4.34283472803,8.0,1912,211,Bear Republic Brewing Co.,Rye Beer,Hop Rod Rye
10672,363,4.08274853801,4.43538011696,4.20116959064,4.48216374269,14.5,1710,220,Goose Island Beer Co.,American Double / Imperial Stout,Bourbon County Brand Stout
22227,354,4.43162393162,4.43162393162,4.29154795821,4.56600189934,7.0,1053,275,Russian River Brewing Company,American Wild Ale,Supplication
1056,353,4.11249323959,4.22336398053,4.26771227691,4.36614386155,10.5,1849,207,Stone Brewing Co.,American Strong Ale,Double Bastard Ale
2671,351,3.96647932557,4.15616218386,4.25853071056,4.18948213569,9.6,2491,172,Sierra Nevada Brewing Co.,American Barleywine,Sierra Nevada Bigfoot Barleywine Style Ale
10325,344,4.26842837274,4.38004172462,4.40020862309,4.44784422809,9.5,1438,230,Brasserie Dieu Du Ciel,American Double / Imperial Stout,Péché Mortel (Imperial Stout Au Cafe)
28203,333,4.33660130719,4.37459150327,4.2716503268,4.37990196078,6.2,1224,234,Surly Brewing Company,American IPA,Furious
56973,329,4.18846153846,4.09903846154,4.34006410256,4.25512820513,6.1,1560,204,Rogue Ales,Oatmeal Stout,Shakespeare Oatmeal Stout
33,328,4.13773148148,4.08969907407,4.10503472222,4.23726851852,8.0,1728,178,Unibroue,Belgian Strong Dark Ale,Maudite
646,325,4.20662020906,4.19616724739,4.30766550523,4.30975609756,9.5,1435,206,Brouwerij Westmalle,Tripel,Westmalle Trappist Tripel
22790,324,4.36021034181,4.35319894829,4.18799298861,4.30893952673,6.1,1141,224,Russian River Brewing Company,American IPA,Blind Pig IPA
34483,320,4.16541353383,4.14112203586,4.3967611336,4.32041642568,10.5,1729,152,Oskar Blues Grill & Brew,Russian Imperial Stout,Ten FIDY
21690,320,4.6,4.7237704918,4.48278688525,4.72459016393,11.0,610,293,Russian River Brewing Company,American Double / Imperial IPA,Pliny The Younger
1946,317,4.1450556647,3.93156516045,4.08578912901,4.04092992796,5.0,1527,152,Spaten-Franziskaner-Bräu,Hefeweizen,Franziskaner Hefe-Weisse
16403,315,4.12859051436,4.01970607882,4.05110220441,4.1753507014,6.9,1497,170,Smuttynose Brewing Company,American IPA,"Smuttynose IPA ""Finest Kind"""
63,306,4.05996573387,3.63649343232,3.92233009709,3.88892061679,4.9,1751,171,Anchor Brewing Company,California Common / Steam Beer,Anchor Steam Beer
30,305,4.11325648415,4.14236311239,4.12536023055,4.26397694524,9.0,1735,159,Unibroue,Belgian Strong Dark Ale,Trois Pistoles
576,303,4.15278838808,3.9243697479,4.12490450726,4.0974025974,5.0,1309,165,Samuel Smith Old Brewery (Tadcaster),English Brown Ale,Samuel Smith's Nut Brown Ale
6549,295,4.24168514412,4.09386548411,4.28935698448,4.19992609017,6.7,1353,149,Sierra Nevada Brewing Co.,American IPA,Northern Hemisphere Harvest Wet Hop Ale
47658,293,4.59105180534,4.55808477237,4.45761381476,4.69701726845,10.6,637,258,Founders Brewing Company,American Double / Imperial Stout,Founders CBS Imperial Stout
35738,290,4.15951916829,4.24431448993,4.07147498376,4.17381416504,8.0,1539,140,Lagunitas Brewing Company,American Double / Imperial IPA,Hop Stoopid
1717,288,4.23061863743,4.07948316366,4.26389976507,4.18206734534,6.5,1277,175,Brasserie Dupont sprl,Saison / Farmhouse Ale,Saison Dupont
7520,274,4.14638971316,4.37487636004,4.40751730959,4.41097922849,15.0,1011,201,Three Floyds Brewing Co. & Brewpub,Russian Imperial Stout,Dark Lord Imperial Stout
8951,274,4.10934691432,4.14289994008,4.25823846615,4.26662672259,7.2,1669,145,Stone Brewing Co.,American Strong Ale,Oaked Arrogant Bastard Ale
59,274,4.23195422535,4.02024647887,4.02904929577,4.12852112676,5.2,1136,160,Allagash Brewing Company,Witbier,Allagash White
857,273,4.51414427157,4.42644978784,4.41584158416,4.55304101839,8.0,707,247,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Dubbel,Trappist Westvleteren 8
1256,273,4.19529983793,3.97406807131,4.12155591572,4.05875202593,5.5,1234,161,Paulaner Brauerei GmbH & Co. KG,Hefeweizen,Paulaner Hefe-Weissbier Naturtrüb
572,270,4.19140625,4.03949652778,4.21397569444,4.16883680556,5.0,1152,158,Samuel Smith Old Brewery (Tadcaster),English Porter,"Samuel Smith's, The Famous Taddy Porter"
1094,268,4.07430555556,3.64861111111,3.81527777778,3.86875,5.8,1440,156,"Bell's Brewery, Inc.",American Pale Wheat Ale,Bell's Oberon Ale
1351,268,3.79683377309,3.10059366755,3.48878627968,3.452176781,4.4,1516,126,Yuengling Brewery ,American Amber / Red Lager,Yuengling Traditional Lager
142,267,4.0446313066,4.0947606727,4.25355756792,4.1607373868,8.5,1546,114,Brewery Ommegang,Dubbel,Ommegang (Abbey Ale)
3833,266,4.28420123566,4.32877316858,4.40335392763,4.44086496028,12.0,1133,189,AleSmith Brewing Company,American Double / Imperial Stout,AleSmith Speedway Stout
14916,263,3.98816079295,4.02257709251,4.00192731278,4.11426211454,8.5,1816,128,Victory Brewing Company,American Double / Imperial IPA,Hop Wallop
672,262,4.08316498316,4.01582491582,4.07542087542,4.11245791246,7.0,1485,121,Bières de Chimay S.A.,Dubbel,Chimay Première (Red)
54904,259,4.1246257485,3.79491017964,3.89184131737,3.94124251497,4.9,1336,163,Boston Beer Company (Samuel Adams),Czech Pilsener,Samuel Adams Noble Pils
16074,257,4.20854092527,4.1665480427,4.18647686833,4.25765124555,6.6,1405,153,Founders Brewing Company,Rye Beer,Founders Red's Rye PA
1331,256,3.61377655929,2.68265935572,2.90130226182,3.10246744345,4.74,1459,135,Pabst Brewing Company,American Adjunct Lager,Pabst Blue Ribbon (PBR)
61,254,4.14371708051,3.99021820918,4.24191121144,4.16704288939,5.6,1329,116,Anchor Brewing Company,American Porter,Anchor Porter
6368,253,4.48867069486,4.36858006042,4.40709969789,4.39728096677,5.9,662,219,Minneapolis Town Hall Brewery,American IPA,Masala Mama India Pale Ale
1161,253,4.03463329453,4.0177532014,4.04860302678,4.17345750873,7.2,1718,96,Dogfish Head Brewery,American Brown Ale,Indian Brown Ale
38470,253,4.1073001888,4.2054751416,4.28162366268,4.26463184393,8.7,1589,127,Stone Brewing Co.,American Black Ale,Stone Sublimely Self-Righteous Ale
9086,249,3.54985673352,4.00200573066,4.02979942693,3.91948424069,18.0,1745,112,Dogfish Head Brewery,American Double / Imperial IPA,120 Minute IPA
219,247,4.19464720195,3.91281427413,4.00162206002,4.1297648013,5.9,1233,136,Fuller Smith & Turner PLC,Extra Special / Strong Bitter (ESB),Fuller's ESB
639,246,3.64522417154,3.16179337232,3.52274204029,3.38564002599,4.7,1539,110,The Caledonian Brewery Company Limited,English Brown Ale,Newcastle Brown Ale
1385,245,4.03485915493,4.03943661972,4.02605633803,4.10281690141,8.5,1420,122,Brouwerij Huyghe,Belgian Strong Pale Ale,Delirium Tremens
3457,244,3.9890077243,4.0935828877,4.16636957813,4.15300059418,9.8,1683,104,Brewery Ommegang,Quadrupel (Quad),Three Philosophers Belgian Style Blend (Quadrupel)
198,243,4.26772030651,4.02538314176,4.06130268199,4.19396551724,5.2,1044,151,Deschutes Brewery,American Porter,Black Butte Porter
22352,242,4.04112694301,4.24902849741,4.19980569948,4.21567357513,10.3,1544,117,Avery Brewing Company,American Double / Imperial IPA,Maharaja
40058,239,4.06093489149,4.46702838063,4.11185308848,4.32178631052,11.0,1198,158,Southern Tier Brewing Company,American Double / Imperial Stout,Choklat
808,238,4.32023121387,4.14161849711,4.21156069364,4.24739884393,5.3,865,163,Bayerische Staatsbrauerei Weihenstephan,Dunkelweizen,Weihenstephaner Hefeweissbier Dunkel
48434,237,4.26591576885,3.94466209598,4.07100881489,4.10186092067,4.8,1021,137,Sierra Nevada Brewing Co.,Hefeweizen,Sierra Nevada Kellerweis Hefeweizen
665,236,4.10091743119,3.88108680311,3.97353563867,4.01764290755,6.0,1417,125,Anchor Brewing Company,American Pale Ale (APA),Anchor Liberty Ale
16814,236,4.62579957356,4.66098081023,4.1631130064,4.60874200426,8.0,469,192,The Alchemist,American Double / Imperial IPA,Heady Topper
228,234,4.29520089286,3.86551339286,4.0703125,4.15792410714,5.8,896,153,Great Lakes Brewing Company,Dortmunder / Export Lager,Great Lakes Dortmunder Gold
656,232,4.23110047847,4.14688995215,4.21674641148,4.27799043062,8.4,1045,135,Brouwerij Bosteels,Tripel,Tripel Karmeliet
1577,231,4.23668280872,4.41222760291,4.12167070218,4.43401937046,4.0,826,178,New Glarus Brewing Company,Fruit / Vegetable Beer,Wisconsin Belgian Red
9474,229,4.39492325856,4.35123966942,4.27685950413,4.45808736718,7.25,847,184,Russian River Brewing Company,American Wild Ale,Temptation
33832,227,3.92861445783,4.15813253012,4.11084337349,4.22078313253,12.0,1660,84,Dogfish Head Brewery,American Brown Ale,Palo Santo Marron
1444,226,3.95360520095,4.15159574468,4.26979905437,4.23758865248,10.5,1692,144,"Bell's Brewery, Inc.",Russian Imperial Stout,Bell's Expedition Stout
38394,226,3.83099630996,4.29225092251,3.86863468635,4.02841328413,8.6,1355,107,Southern Tier Brewing Company,Pumpkin Ale,Pumking
3916,225,4.30347734457,4.29820864067,4.30084299262,4.33456269758,7.25,949,167,AleSmith Brewing Company,American IPA,AleSmith IPA
607,225,3.82377538829,3.45250896057,3.73506571087,3.60304659498,5.2,1674,104,New Belgium Brewing,American Amber / Red Ale,Fat Tire Amber Ale
221,224,4.2736202058,4.14967259121,4.09869036483,4.27970065482,5.4,1069,147,Fuller Smith & Turner PLC,English Porter,Fuller's London Porter
6518,224,4.07583102493,3.85076177285,3.94909972299,3.98234072022,6.5,1444,117,Oskar Blues Grill & Brew,American Pale Ale (APA),Dale's Pale Ale
19216,223,4.08368495077,4.21835443038,4.45323488045,4.2841068917,9.5,1422,110,Great Divide Brewing Company,Russian Imperial Stout,Oak Aged Yeti Imperial Stout
12013,221,4.08362491253,4.17214835549,4.44121763471,4.27431770469,9.5,1429,98,Great Divide Brewing Company,Russian Imperial Stout,Yeti Imperial Stout
2392,219,3.77401520387,4.11230131306,4.11161022806,4.18348306842,18.0,1447,114,Dogfish Head Brewery,American Double / Imperial Stout,World Wide Stout
1346,219,4.05259515571,4.01937716263,4.16539792388,4.1044982699,8.0,1445,99,Bières de Chimay S.A.,Tripel,Chimay Tripel (White)
1339,219,4.05489260143,4.06682577566,3.97971360382,4.1491646778,6.2,1257,101,Rogue Ales,American Brown Ale,Hazelnut Brown Nectar
102,217,3.82540940306,3.47675647121,3.79952456418,3.68674062335,5.3,1893,78,Boston Beer Company (Samuel Adams),Märzen / Oktoberfest,Samuel Adams Octoberfest
283,213,4.13699186992,3.93861788618,4.19634146341,4.11869918699,5.8,1230,107,Sierra Nevada Brewing Co.,American Stout,Sierra Nevada Stout
5441,212,4.14634146341,4.087517934,4.05631276901,4.13378766141,7.2,1394,93,Founders Brewing Company,American IPA,Founders Centennial IPA
18862,209,4.02057182706,4.10913528591,4.14783821478,4.22907949791,10.0,1434,85,Dogfish Head Brewery,American Double / Imperial IPA,Burton Baton
1745,208,3.94208333333,4.00041666667,4.15583333333,4.12708333333,6.0,1200,121,Brouwerij Verhaeghe,Flanders Red Ale,Duchesse De Bourgogne
90,208,4.07151552039,3.94430919051,4.15398660986,4.09768715764,5.9,1643,99,Stone Brewing Co.,American Porter,Stone Smoked Porter
11922,204,4.14212598425,4.06338582677,4.11496062992,4.15826771654,7.1,1270,98,Great Divide Brewing Company,American IPA,Titan IPA
5057,201,4.36264534884,4.32340116279,4.18313953488,4.40406976744,8.0,688,169,Brasserie Fantôme,Saison / Farmhouse Ale,Fantôme Saison
45653,201,4.29680094787,4.36611374408,4.09123222749,4.47393364929,10.0,844,141,Russian River Brewing Company,American Wild Ale,Consecration
23030,200,4.54672897196,4.43341121495,4.3691588785,4.61682242991,12.0,428,187,Portsmouth Brewery,Russian Imperial Stout,Portsmouth Kate The Great
1212,200,3.60347129506,3.36381842457,3.46128170895,3.41588785047,5.4,1498,72,Coors Brewing Company,Witbier,Blue Moon Belgian White
722,193,4.23047251688,4.13211186114,4.16345226615,4.30135004822,8.0,1037,121,Brouwerij St. Bernardus NV,Tripel,St. Bernardus Tripel
429,191,3.83054892601,3.44510739857,3.69490851233,3.66030230708,4.4,1257,102,"Plzensky Prazdroj, a. s.",Czech Pilsener,Pilsner Urquell
155,191,4.04868913858,4.12125468165,4.21629213483,4.26076779026,10.5,1068,96,Brouwerij Van Steenberge N.V.,Belgian Strong Dark Ale,Gulden Draak (Dark Triple)
17060,190,4.05591866376,4.15649963689,4.18700072622,4.19716775599,10.0,1377,81,Great Divide Brewing Company,American Double / Imperial IPA,Hercules Double IPA
3434,189,3.93637077769,3.78436763551,3.80439905734,3.94579732914,6.0,1273,64,Left Hand Brewing Company,Milk / Sweet Stout,Left Hand Milk Stout
6322,187,4.18441064639,3.96815589354,4.01045627376,4.09220532319,6.0,1052,85,Tröegs Brewing Company,American Amber / Red Ale,Tröegs Hopback Amber Ale
46849,184,4.43072824156,4.50088809947,4.24777975133,4.44671403197,9.0,563,130,Surly Brewing Company,American Double / Imperial IPA,Abrasive Ale
27804,182,4.17966436328,4.11105626851,4.3637709773,4.26505429418,9.0,1013,121,Brasserie d'Achouffe,Belgian IPA,Houblon Chouffe Dobbelen IPA Tripel
22505,181,4.10739299611,4.25680933852,4.11011673152,4.19688715953,7.3,1285,89,Green Flash Brewing Co.,American IPA,Green Flash West Coast I.P.A.
33127,181,4.2984496124,4.31162790698,4.54263565891,4.42558139535,10.3,645,141,Surly Brewing Company,Russian Imperial Stout,Darkness
41815,181,4.4218487395,4.38907563025,4.28823529412,4.54537815126,12.5,595,119,Firestone Walker Brewing Co.,Russian Imperial Stout,Parabola
674,180,4.14424951267,4.07699805068,4.18177387914,4.14619883041,7.0,1026,85,Brouwerij Westmalle,Dubbel,Westmalle Trappist Dubbel
25755,178,4.09279778393,4.08679593721,3.9621421976,4.09833795014,7.25,1083,78,Heavy Seas Beer,American IPA,Heavy Seas - Loose Cannon (Hop3 Ale)
222,177,4.15078534031,3.79319371728,3.89528795812,3.9780104712,4.7,955,97,Fuller Smith & Turner PLC,English Pale Ale,Fuller's London Pride
279,175,4.04868316042,3.79928172386,4.04748603352,3.98084596967,5.6,1253,84,Sierra Nevada Brewing Co.,American Porter,Sierra Nevada Porter
101,172,3.81195175439,3.52796052632,3.80975877193,3.70285087719,5.5,1824,54,Boston Beer Company (Samuel Adams),Bock,Samuel Adams Winter Lager
6260,172,3.8573362209,3.94125609096,3.82512181917,3.93990254467,7.0,1847,62,Dogfish Head Brewery,Pumpkin Ale,Punkin Ale
34146,172,4.09664948454,4.24183848797,4.01116838488,4.21907216495,9.4,1164,84,Founders Brewing Company,American Double / Imperial IPA,Founders Double Trouble
49789,171,4.21941176471,4.20823529412,3.99588235294,4.21647058824,7.5,850,87,Lagunitas Brewing Company,American Pale Wheat Ale,A Little Sumpin' Sumpin' Ale
1658,170,4.18245264207,4.06779661017,4.2517447657,4.18843469591,8.1,1003,100,Bear Republic Brewing Co.,American Double / Imperial Stout,Big Bear Black Stout
673,170,4.11344019729,4.20838471023,4.09494451295,4.30702836005,6.0,811,117,Brouwerij Rodenbach N.V.,Flanders Red Ale,Rodenbach Grand Cru
712,168,4.19835329341,3.74251497006,3.87200598802,3.99775449102,5.1,668,116,Bayerische Staatsbrauerei Weihenstephan,Munich Helles Lager,Weihenstephaner Original
1879,168,3.98506860371,3.90677966102,4.05367231638,3.95520581114,4.9,1239,68,Boston Beer Company (Samuel Adams),Milk / Sweet Stout,Samuel Adams Cream Stout
1585,165,4.21830985915,4.37183098592,4.12464788732,4.41690140845,4.0,710,134,New Glarus Brewing Company,Fruit / Vegetable Beer,Raspberry Tart
694,165,4.1026459854,4.05383211679,3.94662408759,4.1628649635,9.0,1096,100,Unibroue,Belgian Strong Pale Ale,Don de Dieu
21300,164,3.90763052209,3.63219544846,3.89022757697,3.85073627845,4.9,1494,65,Boston Beer Company (Samuel Adams),Schwarzbier,Samuel Adams Black Lager
42533,163,4.12576419214,3.95283842795,4.22139737991,4.0903930131,6.7,1145,84,Sierra Nevada Brewing Co.,American IPA,Sierra Nevada Southern Hemisphere Harvest Fresh Hop Ale
650,162,3.73914823915,3.60892710893,4.10851760852,3.74938574939,6.0,1221,64,Guinness Ltd.,Irish Dry Stout,Guinness Extra Stout (Original)
229,162,4.20918984281,3.88391777509,4.11729141475,4.14328899637,6.2,827,100,Great Lakes Brewing Company,Vienna Lager,Great Lakes Eliot Ness
64228,161,4.51272264631,4.54325699746,4.21501272265,4.49236641221,6.2,393,102,Three Floyds Brewing Co. & Brewpub,American Pale Ale (APA),Zombie Dust
21950,161,4.16648471616,4.22489082969,4.12554585153,4.27074235808,8.1,916,84,Terrapin Beer Company,American Double / Imperial Stout,Terrapin Coffee Oatmeal Imperial Stout
21822,159,4.18599257885,4.1952690167,4.3047309833,4.33116883117,10.5,1078,90,Founders Brewing Company,Russian Imperial Stout,Founders Imperial Stout
299,158,3.53952843273,3.43446601942,3.50104022191,3.39667128988,5.1,1442,44,Magic Hat Brewing Company,Fruit / Vegetable Beer,#9
6301,158,4.08308751229,3.90462143559,4.01130776794,3.85889872173,4.4,1017,85,Stone Brewing Co.,American Amber / Red Ale,Stone Levitation Ale
28165,153,4.28550512445,4.00439238653,4.13103953148,4.18448023426,5.1,683,115,Surly Brewing Company,American Brown Ale,Bender
361,153,4.09576515881,3.96294513956,4.01780558229,4.09047160731,5.8,1039,84,Rogue Ales,American IPA,Brutal Bitter Ale
779,152,4.17053854277,4.10084477297,4.14783526927,4.26874340021,7.4,947,89,Bayerische Staatsbrauerei Weihenstephan,Doppelbock,Weihenstephaner Korbinian
24071,152,3.94249084249,3.97802197802,4.19267399267,4.0978021978,9.2,1365,67,Flying Dog Brewery,Baltic Porter,Gonzo Imperial Porter
197,151,4.25,4.07796391753,4.30476804124,4.26675257732,6.4,776,88,Deschutes Brewery,American Stout,Obsidian Stout
3558,150,3.93797276853,3.46293494705,3.64939485628,3.67284417549,5.0,1322,85,Sierra Nevada Brewing Co.,Czech Pilsener,Sierra Nevada Summerfest Lager
28577,150,4.0197495183,4.1204238921,4.11368015414,4.14884393064,9.5,1038,76,Southern Tier Brewing Company,American Double / Imperial IPA,Unearthly (Imperial India Pale Ale)
1062,150,4.56211180124,4.30279503106,4.21118012422,4.39130434783,5.2,322,137,Live Oak Brewing Company,Hefeweizen,Live Oak HefeWeizen
148,149,4.02497729337,3.72615803815,3.8919164396,3.8646684832,5.2,1101,81,Brooklyn Brewery,American Amber / Red Lager,Brooklyn Lager
387,148,3.88861588862,3.88533988534,3.904995905,3.97993447993,7.9,1221,62,Paulaner Brauerei GmbH & Co. KG,Doppelbock,Salvator Doppel Bock
99,147,3.89456609895,3.78142741281,3.92254663423,3.97161394972,7.6,1233,53,Spaten-Franziskaner-Bräu,Doppelbock,Spaten Optimator
132,147,4.22540983607,4.04849726776,4.06898907104,4.12226775956,5.1,732,88,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,Hefeweizen,Ayinger Bräu Weisse
7348,147,4.21555555556,4.14444444444,4.15833333333,4.29277777778,6.5,900,67,Founders Brewing Company,American Porter,Founders Porter
37477,146,4.09081836327,3.89371257485,4.05189620758,3.95858283433,5.9,1002,73,Sierra Nevada Brewing Co.,American IPA,Sierra Nevada Anniversary Ale (2007-2009)
1117,146,4.0574980575,3.95143745144,4.17327117327,4.12004662005,6.0,1287,77,"Bell's Brewery, Inc.",American Stout,Bell's Kalamazoo Stout
1867,146,3.89569805195,4.11444805195,3.96428571429,4.16558441558,11.9,1232,69,North Coast Brewing Co.,Old Ale,Old Stock Ale
65,146,2.88399462004,2.18964357767,2.51647612643,2.42030934768,5.0,1487,70,Anheuser-Busch,American Adjunct Lager,Budweiser
410,145,4.04284221526,3.81609195402,3.94618599791,3.93364681296,5.5,957,76,North Coast Brewing Co.,American Amber / Red Ale,Ruedrich's Red Seal Ale
15813,145,4.17607105538,4.14367816092,4.14420062696,4.28840125392,9.0,957,80,Great Lakes Brewing Company,Russian Imperial Stout,Great Lakes Blackout Stout
