beer_beerid,brewery_id,brewery_name,beer_style,beer_name,beer_abv
63102,2097,Kuhnhenn Brewing Company,American Black Ale,Kuhnhenn Hooded Knight,9.0
63449,2097,Kuhnhenn Brewing Company,Maibock / Helles Bock,Kuhnhenn Mittelfruh Monster,8.0
64632,2097,Kuhnhenn Brewing Company,Lambic - Fruit,Kuhnhenn Play In The Hay (Blueberry) - DUPLICATE,6.8
64880,2097,Kuhnhenn Brewing Company,American Black Ale,Kuhnhenn Lunar Eclipse,11.0
65841,2097,Kuhnhenn Brewing Company,English Brown Ale,Kuhnhenn Kuhnie Wrench,7.0
65895,2097,Kuhnhenn Brewing Company,Braggot,Kuhnhenn Nine Braggot,9.2
66850,2097,Kuhnhenn Brewing Company,Herbed / Spiced Beer,Kuhnhenn Stollen Christmas Ale,9.0
68747,2097,Kuhnhenn Brewing Company,Belgian Strong Dark Ale,Kuhnhenn Burghard Crusader Strong,8.5
68749,2097,Kuhnhenn Brewing Company,American Pale Ale (APA),Kuhnhenn Timmy T's,4.5
70070,2097,Kuhnhenn Brewing Company,American IPA,Kuhnhenn Red Dawn IPA,7.25
70072,2097,Kuhnhenn Brewing Company,Saison / Farmhouse Ale,Kuhnhenn Alsace Saison,7.7
70073,2097,Kuhnhenn Brewing Company,Fruit / Vegetable Beer,Kuhnhenn Peach Panty Dropper,4.5
70964,2097,Kuhnhenn Brewing Company,Braggot,Kuhnhenn Imperial Bourbon Barrel Braggot,16.5
71341,2097,Kuhnhenn Brewing Company,Hefeweizen,Kuhnhenn Ambrosiaweiss,5.5
71431,2097,Kuhnhenn Brewing Company,American Wild Ale,Kuhnhenn Play In The Hay (Mango),8.5
71433,2097,Kuhnhenn Brewing Company,American Wild Ale,Kuhnhenn Play In The Hay (Tangerine),8.5
71434,2097,Kuhnhenn Brewing Company,American Wild Ale,Kuhnhenn Play In The Hay (Guava),8.5
72104,2097,Kuhnhenn Brewing Company,Dunkelweizen,Kuhnhenn Dunkel Weiss,5.5
72790,2097,Kuhnhenn Brewing Company,Flanders Oud Bruin,Kuhnhenn Cherry Olde Brune (DUPLICATE),10.5
73085,2097,Kuhnhenn Brewing Company,American IPA,Kuhnhenn Tangerine IPA,6.0
73087,2097,Kuhnhenn Brewing Company,American IPA,Kuhnhenn Golden IPA,6.0
73105,2097,Kuhnhenn Brewing Company,Märzen / Oktoberfest,Kuhnhenn Fest,4.75
74901,2097,Kuhnhenn Brewing Company,Braggot,Kuhnhenn Convolution Braggot,15.0
75052,2097,Kuhnhenn Brewing Company,American IPA,Kuhnhenn 313 Ale,7.2
75370,2097,Kuhnhenn Brewing Company,American Adjunct Lager,Kuhnhenn Imperial Classic American Pilsner,6.5
75371,2097,Kuhnhenn Brewing Company,English Dark Mild Ale,Kuhnhenn Conundrum,3.8
75372,2097,Kuhnhenn Brewing Company,Bière de Garde,Kuhnhenn Loco Yokel,6.5
75632,2097,Kuhnhenn Brewing Company,Doppelbock,Kuhnhenn Equibock,7.25
76528,2097,Kuhnhenn Brewing Company,American Brown Ale,Kuhnhenn Double Nut Brown,6.8
76673,2097,Kuhnhenn Brewing Company,Belgian Strong Pale Ale,Kuhnhenn Duvil In Ms Jones Ale,8.5
76716,2097,Kuhnhenn Brewing Company,Braggot,Kuhnhenn Chocolate Pumpkin Braggot,16.0
76875,2097,Kuhnhenn Brewing Company,Braggot,Kuhnhenn Dark Heathen Braggot,16.0
10483,3704,"Stone Iwamoto Co., Ltd / Hakusekikan Beer Restaurant BACCHUS",Hefeweizen,Hakusekikan Niwa Weisse - Shizen Beer,5.0
10515,3704,"Stone Iwamoto Co., Ltd / Hakusekikan Beer Restaurant BACCHUS",English Barleywine,Hakusekikan Barley Wine,14.5
10516,3704,"Stone Iwamoto Co., Ltd / Hakusekikan Beer Restaurant BACCHUS",Belgian Strong Pale Ale,Hakusekikan Crystal Ale,10.0
10542,3704,"Stone Iwamoto Co., Ltd / Hakusekikan Beer Restaurant BACCHUS",Belgian Strong Dark Ale,Hakusekikan Brown Ale,8.0
10580,3704,"Stone Iwamoto Co., Ltd / Hakusekikan Beer Restaurant BACCHUS",English Pale Ale,Hakusekikan Pale Ale,5.0
24374,3704,"Stone Iwamoto Co., Ltd / Hakusekikan Beer Restaurant BACCHUS",Smoked Beer,Hakusekikan Smoke Ale,5.0
25241,3704,"Stone Iwamoto Co., Ltd / Hakusekikan Beer Restaurant BACCHUS",American Barleywine,Hakusekikan Super Vintage,14.3
25242,3704,"Stone Iwamoto Co., Ltd / Hakusekikan Beer Restaurant BACCHUS",American Barleywine,Hakusekikan Hurricane,15.0
50364,3704,"Stone Iwamoto Co., Ltd / Hakusekikan Beer Restaurant BACCHUS",Lambic - Unblended,Hakusekikan Shizen Bakushu,5.5
8304,3835,Drake's Brewing Co.,Extra Special / Strong Bitter (ESB),Drake's Amber Ale,5.9
8632,3835,Drake's Brewing Co.,Kölsch,Drake's Blonde Ale,4.8
9510,3835,Drake's Brewing Co.,American Amber / Red Ale,Expedition Ale,7.0
10308,3835,Drake's Brewing Co.,American IPA,Drake's IPA,7.0
12172,3835,Drake's Brewing Co.,Russian Imperial Stout,Drake's Drakonic Imperial Stout,8.75
14846,3835,Drake's Brewing Co.,Hefeweizen,Drake's Hefe-weizen,4.9
16537,3835,Drake's Brewing Co.,Belgian Strong Pale Ale,Drake's Belgian Ale,7.1
16553,3835,Drake's Brewing Co.,Russian Imperial Stout,Drake's Port Barrel Imperial Stout,11.0
19129,3835,Drake's Brewing Co.,Scotch Ale / Wee Heavy,Drake's Jolly Rodger,9.0
19800,3835,Drake's Brewing Co.,American Pale Lager,Drake's Zatec Pilsner,4.8
22273,3835,Drake's Brewing Co.,American Double / Imperial IPA,Drake's Denogginizer,9.75
24481,3835,Drake's Brewing Co.,American Barleywine,Drake's Anniversary Ale,11.0
25095,3835,Drake's Brewing Co.,American Pale Ale (APA),Drake's 1500 Pale Ale,5.2
27288,3835,Drake's Brewing Co.,American Barleywine,Drake's Barrel Aged Barley Wine,14.7
27290,3835,Drake's Brewing Co.,Scotch Ale / Wee Heavy,Drake's Barrel Aged Jolly Rodger,11.0
27706,3835,Drake's Brewing Co.,American Barleywine,Drake's Barrel Aged Anniversary Lager,13.7
33144,3835,Drake's Brewing Co.,American IPA,Harvest,6.5
35071,3835,Drake's Brewing Co.,American Barleywine,Drake's Bourbon Barrel Aged Barley Wine,11.1
35363,3835,Drake's Brewing Co.,American Double / Imperial IPA,Hop Salad,9.0
35399,3835,Drake's Brewing Co.,Old Ale,Drake's Barrel Aged Olde Ale,10.24
36014,3835,Drake's Brewing Co.,American Barleywine,Drake's Bourbon Barrel Barley Wine (Barrel Aged Series #4),10.37
39017,3835,Drake's Brewing Co.,Scotch Ale / Wee Heavy,Drake's Brandy Barrel Aged Jolly Rodger,14.7
39604,3835,Drake's Brewing Co.,Rye Beer,Drake's Rye Wine,12.0
41942,3835,Drake's Brewing Co.,American Barleywine,Drake's FrankenWine,12.0
42559,3835,Drake's Brewing Co.,English Pale Mild Ale,Drake's Jackie Chiles Mild,5.8
44068,3835,Drake's Brewing Co.,Belgian Pale Ale,Drake's William Holden Belgian Golden,5.0
44693,3835,Drake's Brewing Co.,American Double / Imperial Stout,Drake's Batch 2000,8.5
44801,3835,Drake's Brewing Co.,American Double / Imperial Stout,Drake's Bourbon Barrel Aged Imperial Stout,10.5
44803,3835,Drake's Brewing Co.,American Double / Imperial Stout,Drake's Port Barrel Aged Imperial Stout With Blueberries And Brett,11.0
44814,3835,Drake's Brewing Co.,American Double / Imperial Stout,Drake's Port Barrel Aged Imperial Stout With Cherries And Brett,11.0
45184,3835,Drake's Brewing Co.,American Double / Imperial Stout,Drake's Pinot Noir Barrel Aged Imperial Stout,8.5
45870,3835,Drake's Brewing Co.,American Double / Imperial IPA,Drake's Rodgers Last Stand,10.4
46649,3835,Drake's Brewing Co.,American Double / Imperial IPA,Drake's Hopocalypse,9.25
47671,3835,Drake's Brewing Co.,Tripel,Drake's George Brett Triple,8.5
47676,3835,Drake's Brewing Co.,American Barleywine,Brewers Droop Barleywine,9.5
51324,3835,Drake's Brewing Co.,American Wild Ale,Drake's It's Fity,6.5
51728,3835,Drake's Brewing Co.,American IPA,Aroma Coma,6.7
52989,3835,Drake's Brewing Co.,American IPA,Bass Akwards,6.9
59587,3835,Drake's Brewing Co.,American Amber / Red Ale,Drake's Red Eye,6.5
62686,3835,Drake's Brewing Co.,American Black Ale,Chinookian Dark IPA,7.5
63504,3835,Drake's Brewing Co.,American Wild Ale,Brett Butler,9.0
63507,3835,Drake's Brewing Co.,American Wild Ale,Wyld Stallyns,7.9
63630,3835,Drake's Brewing Co.,American Wild Ale,Volte-Face,5.5
63631,3835,Drake's Brewing Co.,American Porter,The Creator Has A Mastertape,6.0
63632,3835,Drake's Brewing Co.,American Double / Imperial Stout,Kadath Decoded,10.0
63994,3835,Drake's Brewing Co.,American Pale Ale (APA),Alpha Session,3.8
64372,3835,Drake's Brewing Co.,American Amber / Red Ale,Drake's Jolly Rodger 2010 Imperial Red Ale,8.0
64726,3835,Drake's Brewing Co.,American Wild Ale,Brettamber,6.8
65661,3835,Drake's Brewing Co.,Rye Beer,Drake's Grain-Brain Rye Wine,11.0
66481,3835,Drake's Brewing Co.,American IPA,Aroma Prieta,6.5
66637,3835,Drake's Brewing Co.,American Barleywine,Drake's Bourbon Barrel Aged FrankenWine,12.0
67177,3835,Drake's Brewing Co.,American Barleywine,Drake's Nyack,12.0
67567,3835,Drake's Brewing Co.,American IPA,2011 Symposium IPA,7.5
67973,3835,Drake's Brewing Co.,American Double / Imperial Stout,Drakonic Imperial Stout,8.75
68547,3835,Drake's Brewing Co.,American Wild Ale,Drake's Dark Diggler,11.0
68611,3835,Drake's Brewing Co.,American Pale Ale (APA),Drake’s Reunion Pale Ale,5.5
68803,3835,Drake's Brewing Co.,American Wild Ale,Drake's Chardi's Trippel,10.0
68807,3835,Drake's Brewing Co.,American Wild Ale,Drake's Simian Sour,9.0
68808,3835,Drake's Brewing Co.,American Barleywine,Drake's Brandy Witches,10.0
68809,3835,Drake's Brewing Co.,American Black Ale,Drake's Batch 3000,5.5
68860,3835,Drake's Brewing Co.,American Porter,Drake's Black Robusto Porter,7.0
70909,3835,Drake's Brewing Co.,American Double / Imperial Stout,Drake's How Merlot Can You Go?,7.75
70921,3835,Drake's Brewing Co.,American Double / Imperial Stout,"Drake's Drew ""Berry""more",8.75
71436,3835,Drake's Brewing Co.,American Wild Ale,Drake's Dark Duck,8.0
72734,3835,Drake's Brewing Co.,American Barleywine,Drake's Urban Bourbon,10.0
74112,3835,Drake's Brewing Co.,American Double / Imperial Stout,Portly Imp,8.75
74647,3835,Drake's Brewing Co.,Irish Dry Stout,Drake's Dry Stout,6.5
74673,3835,Drake's Brewing Co.,American Double / Imperial Stout,Drake's Midnight Run,8.75
